Efficiency,PWR,Torque,Thrust,RPM
0,0.001,0.055,0.071,1000
0.0607,0.001,0.056,0.07,1000
0.119,0.001,0.056,0.069,1000
0.1749,0.001,0.056,0.068,1000
0.2282,0.001,0.057,0.067,1000
0.279,0.001,0.057,0.066,1000
0.3272,0.001,0.057,0.064,1000
0.3727,0.001,0.057,0.063,1000
0.4154,0.001,0.057,0.061,1000
0.4553,0.001,0.057,0.059,1000
0.4923,0.001,0.057,0.058,1000
0.5264,0.001,0.056,0.056,1000
0.5574,0.001,0.056,0.053,1000
0.5855,0.001,0.055,0.051,1000
0.6104,0.001,0.054,0.048,1000
0.6321,0.001,0.052,0.046,1000
0.6508,0.001,0.051,0.043,1000
0.6665,0.001,0.049,0.04,1000
0.6796,0.001,0.047,0.037,1000
0.6902,0.001,0.045,0.034,1000
0.6985,0.001,0.043,0.031,1000
0.7042,0.001,0.04,0.028,1000
0.7067,0.001,0.037,0.024,1000
0.7052,0.001,0.033,0.021,1000
0.6982,0,0.029,0.018,1000
0.6785,0,0.025,0.014,1000
0.6382,0,0.021,0.011,1000
0.5594,0,0.017,0.007,1000
0.3976,0,0.012,0.004,1000
-0.0017,0,0.008,0,1000
0,0.007,0.221,0.283,2000
0.0607,0.007,0.223,0.28,2000
0.119,0.007,0.225,0.276,2000
0.1748,0.007,0.226,0.272,2000
0.2282,0.007,0.227,0.268,2000
0.279,0.007,0.228,0.263,2000
0.3271,0.007,0.229,0.258,2000
0.3726,0.007,0.229,0.252,2000
0.4154,0.007,0.228,0.245,2000
0.4553,0.007,0.228,0.238,2000
0.4923,0.007,0.227,0.23,2000
0.5264,0.007,0.225,0.222,2000
0.5575,0.007,0.223,0.214,2000
0.5855,0.007,0.219,0.204,2000
0.6104,0.007,0.215,0.194,2000
0.6322,0.007,0.21,0.182,2000
0.6509,0.006,0.204,0.171,2000
0.6666,0.006,0.197,0.16,2000
0.6797,0.006,0.19,0.148,2000
0.6903,0.006,0.181,0.136,2000
0.6986,0.005,0.171,0.123,2000
0.7043,0.005,0.16,0.111,2000
0.7068,0.005,0.147,0.098,2000
0.7053,0.004,0.133,0.084,2000
0.6982,0.004,0.118,0.071,2000
0.6785,0.003,0.102,0.057,2000
0.638,0.003,0.085,0.043,2000
0.5593,0.002,0.067,0.029,2000
0.3971,0.002,0.049,0.014,2000
-0.0027,0.001,0.032,0,2000
0,0.024,0.499,0.637,3000
0.0606,0.024,0.503,0.63,3000
0.1188,0.024,0.506,0.622,3000
0.1746,0.024,0.51,0.613,3000
