Efficiency,PWR,Torque,Thrust,RPM
0,0.002,0.117,0.128,1000
0.0612,0.002,0.118,0.127,1000
0.12,0.002,0.119,0.125,1000
0.1763,0.002,0.12,0.123,1000
0.2302,0.002,0.12,0.121,1000
0.2814,0.002,0.121,0.119,1000
0.33,0.002,0.121,0.117,1000
0.3759,0.002,0.121,0.114,1000
0.419,0.002,0.121,0.111,1000
0.4591,0.002,0.121,0.108,1000
0.4963,0.002,0.12,0.104,1000
0.5305,0.002,0.119,0.101,1000
0.5617,0.002,0.118,0.097,1000
0.5898,0.002,0.117,0.093,1000
0.6148,0.002,0.115,0.088,1000
0.6367,0.002,0.112,0.083,1000
0.6555,0.002,0.109,0.078,1000
0.6713,0.002,0.105,0.073,1000
0.6846,0.002,0.101,0.068,1000
0.6954,0.002,0.097,0.062,1000
0.704,0.001,0.091,0.056,1000
0.7101,0.001,0.085,0.051,1000
0.713,0.001,0.079,0.045,1000
0.7128,0.001,0.071,0.039,1000
0.7067,0.001,0.063,0.032,1000
0.6887,0.001,0.054,0.026,1000
0.6509,0.001,0.045,0.02,1000
0.5771,0.001,0.035,0.013,1000
0.4192,0,0.025,0.007,1000
-0.0122,0,0.016,0,1000
0,0.015,0.47,0.513,2000
0.0611,0.015,0.474,0.507,2000
0.1199,0.015,0.477,0.501,2000
0.1762,0.015,0.48,0.494,2000
0.23,0.015,0.482,0.486,2000
0.2812,0.015,0.484,0.477,2000
0.3298,0.015,0.485,0.467,2000
0.3757,0.015,0.486,0.457,2000
0.4188,0.015,0.485,0.445,2000
0.459,0.015,0.484,0.432,2000
0.4962,0.015,0.482,0.419,2000
0.5304,0.015,0.478,0.404,2000
0.5616,0.015,0.474,0.388,2000
0.5898,0.015,0.468,0.372,2000
0.6148,0.015,0.46,0.354,2000
0.6367,0.014,0.449,0.334,2000
0.6555,0.014,0.437,0.314,2000
0.6714,0.013,0.423,0.292,2000
0.6846,0.013,0.406,0.271,2000
0.6955,0.012,0.388,0.249,2000
0.7041,0.012,0.366,0.226,2000
0.7101,0.011,0.342,0.203,2000
0.7131,0.01,0.315,0.179,2000
0.713,0.009,0.284,0.155,2000
0.7069,0.008,0.251,0.13,2000
0.6888,0.007,0.216,0.104,2000
0.651,0.006,0.179,0.079,2000
0.5777,0.004,0.141,0.053,2000
0.4215,0.003,0.1,0.027,2000
-0.0005,0.002,0.064,0,2000
0,0.049,1.032,1.154,3000
0.0624,0.05,1.043,1.142,3000
0.1222,0.05,1.052,1.128,3000
0.1794,0.05,1.06,1.112,3000
0.2338,0.051,1.067,1.094,3000
0.2856,0.051,1.073,1.074,3000
0.3346,0.051,1.076,1.053,3000
0.3809,0.051,1.077,1.028,3000
0.4244,0.051,1.077,1.002,3000
0.4651,0.051,1.075,0.974,3000
0.5029,0.051,1.07,0.943,3000
0.5378,0.051,1.062,0.911,3000
0.5699,0.05,1.052,0.876,3000
0.5991,0.049,1.038,0.839,3000
0.6253,0.049,1.019,0.798,3000
0.6487,0.047,0.994,0.754,3000
0.669,0.046,0.965,0.708,3000
0.6866,0.044,0.932,0.66,3000
0.7016,0.043,0.894,0.611,3000
0.7141,0.041,0.851,0.561,3000
0.7239,0.038,0.803,0.51,3000
0.7307,0.036,0.75,0.458,3000
0.7345,0.033,0.689,0.404,3000
0.7347,0.03,0.623,0.349,3000
0.7288,0.026,0.55,0.293,3000
0.7103,0.023,0.474,0.236,3000
0.6721,0.019,0.393,0.178,3000
0.597,0.015,0.308,0.119,3000
0.4371,0.01,0.219,0.06,3000
-0.0023,0.007,0.138,0,3000
0,0.112,1.76,2.054,4000
0.065,0.113,1.785,2.033,4000
0.1268,0.115,1.807,2.008,4000
0.1855,0.116,1.827,1.98,4000
0.2412,0.117,1.844,1.949,4000
0.2939,0.118,1.857,1.914,4000
0.3437,0.118,1.867,1.875,4000
0.3908,0.119,1.872,1.832,4000
0.435,0.119,1.873,1.786,4000
0.4765,0.119,1.869,1.735,4000
0.5153,0.118,1.861,1.681,4000
0.5514,0.117,1.847,1.623,4000
0.5849,0.116,1.826,1.561,4000
0.6158,0.114,1.799,1.494,4000
0.6441,0.112,1.764,1.423,4000
0.6697,0.109,1.717,1.344,4000
0.6926,0.105,1.661,1.261,4000
0.7129,0.101,1.598,1.175,4000
0.7308,0.097,1.528,1.088,4000
0.7459,0.092,1.45,0.998,4000
0.7573,0.087,1.365,0.906,4000
0.765,0.081,1.272,0.812,4000
0.7697,0.074,1.168,0.717,4000
0.7701,0.067,1.054,0.619,4000
0.7634,0.059,0.931,0.519,4000
0.743,0.051,0.802,0.418,4000
0.7028,0.042,0.666,0.316,4000
0.6243,0.033,0.523,0.212,4000
0.4566,0.024,0.373,0.107,4000
-0.0006,0.015,0.236,0,4000
0,0.259,3.27,3.253,5000
0.0565,0.257,3.243,3.219,5000
0.1126,0.255,3.217,3.179,5000
0.1678,0.253,3.191,3.134,5000
0.222,0.251,3.166,3.084,5000
0.2747,0.249,3.139,3.028,5000
0.3257,0.247,3.111,2.965,5000
0.3748,0.244,3.081,2.896,5000
0.4218,0.242,3.048,2.821,5000
0.4665,0.239,3.011,2.74,5000
0.5086,0.236,2.971,2.653,5000
0.5481,0.232,2.925,2.559,5000
0.585,0.228,2.873,2.459,5000
0.6191,0.223,2.814,2.352,5000
0.6503,0.218,2.744,2.238,5000
0.6782,0.211,2.662,2.113,5000
0.7028,0.204,2.57,1.982,5000
0.7245,0.196,2.47,1.848,5000
0.7439,0.187,2.357,1.71,5000
0.7606,0.177,2.233,1.57,5000
0.7736,0.167,2.099,1.426,5000
0.783,0.155,1.953,1.279,5000
0.7891,0.142,1.792,1.128,5000
0.7913,0.128,1.614,0.975,5000
0.7858,0.113,1.424,0.818,5000
0.7671,0.097,1.224,0.66,5000
0.7281,0.08,1.014,0.498,5000
0.6518,0.063,0.79,0.335,5000
0.4842,0.044,0.555,0.168,5000
-0.0006,0.027,0.341,0,5000
0,0.542,5.69,4.764,6000
0.0485,0.526,5.529,4.714,6000
0.0986,0.512,5.377,4.655,6000
0.1497,0.498,5.235,4.588,6000
0.2015,0.486,5.101,4.513,6000
0.2535,0.474,4.974,4.428,6000
0.3051,0.462,4.854,4.335,6000
0.3559,0.451,4.739,4.231,6000
0.4053,0.441,4.628,4.119,6000
0.453,0.43,4.522,3.997,6000
0.4984,0.421,4.417,3.867,6000
0.5415,0.41,4.311,3.727,6000
0.5818,0.4,4.201,3.577,6000
0.6191,0.389,4.087,3.418,6000
0.6531,0.377,3.964,3.248,6000
0.6833,0.365,3.83,3.064,6000
0.7093,0.351,3.69,2.873,6000
0.7321,0.337,3.541,2.678,6000
0.7525,0.321,3.376,2.479,6000
0.7704,0.304,3.196,2.276,6000
0.785,0.285,2.999,2.067,6000
0.796,0.265,2.788,1.856,6000
0.8039,0.243,2.554,1.639,6000
0.8079,0.219,2.296,1.416,6000
0.8045,0.192,2.021,1.19,6000
0.7874,0.165,1.735,0.96,6000
0.7502,0.136,1.432,0.725,6000
0.6763,0.105,1.107,0.487,6000
0.5097,0.073,0.766,0.245,6000
0,0.044,0.461,0,6000
0,1.002,9.023,6.594,7000
0.0431,0.959,8.639,6.524,7000
0.0887,0.92,8.28,6.442,7000
0.1366,0.883,7.947,6.348,7000
0.1864,0.848,7.637,6.242,7000
0.2375,0.816,7.351,6.123,7000
0.2892,0.787,7.086,5.99,7000
0.341,0.76,6.839,5.844,7000
0.3922,0.734,6.61,5.684,7000
0.4422,0.711,6.397,5.512,7000
0.4902,0.688,6.198,5.328,7000
0.5361,0.667,6.003,5.13,7000
0.5792,0.645,5.811,4.919,7000
0.6192,0.624,5.621,4.695,7000
0.6557,0.603,5.427,4.458,7000
0.6878,0.58,5.226,4.203,7000
0.7151,0.558,5.025,3.938,7000
0.7387,0.535,4.817,3.671,7000
0.7601,0.509,4.586,3.396,7000
0.779,0.481,4.334,3.116,7000
0.7949,0.451,4.06,2.83,7000
0.8075,0.418,3.763,2.538,7000
0.8169,0.382,3.439,2.24,7000
0.8225,0.343,3.086,1.935,7000
0.8206,0.301,2.709,1.624,7000
0.8046,0.257,2.317,1.308,7000
0.7679,0.211,1.902,0.985,7000
0.6953,0.162,1.46,0.66,7000
0.5284,0.111,1,0.331,7000
-0.0004,0.067,0.602,0,7000
0,1.716,13.52,8.762,8000
0.0386,1.623,12.79,8.671,8000
0.0806,1.536,12.102,8.563,8000
0.1256,1.456,11.468,8.437,8000
0.1734,1.383,10.892,8.295,8000
0.2233,1.316,10.366,8.134,8000
0.2748,1.255,9.886,7.955,8000
0.3271,1.2,9.45,7.758,8000
0.3795,1.149,9.052,7.543,8000
0.4311,1.103,8.688,7.31,8000
0.4811,1.061,8.355,7.062,8000
0.5293,1.02,8.04,6.795,8000
0.5748,0.982,7.739,6.512,8000
0.6172,0.946,7.449,6.213,8000
0.6558,0.909,7.165,5.896,8000
0.6898,0.873,6.88,5.558,8000
0.7183,0.839,6.606,5.21,8000
0.7428,0.803,6.329,4.858,8000
0.7652,0.764,6.022,4.497,8000
0.7852,0.722,5.686,4.128,8000
0.8025,0.675,5.319,3.75,8000
0.8167,0.625,4.924,3.364,8000
0.8278,0.57,4.493,2.97,8000
0.8351,0.511,4.025,2.567,8000
0.8357,0.447,3.525,2.157,8000
0.8216,0.382,3.012,1.739,8000
0.7875,0.314,2.472,1.316,8000
0.7188,0.24,1.89,0.884,8000
0.5561,0.162,1.274,0.445,8000
-0.0006,0.094,0.737,0,8000
0,2.471,17.304,11.168,9000
0.0385,2.338,16.37,11.062,9000
0.0805,2.207,15.457,10.931,9000
0.1259,2.087,14.615,10.776,9000
0.1742,1.979,13.858,10.598,9000
0.2246,1.882,13.177,10.397,9000
0.2765,1.794,12.565,10.171,9000
0.3292,1.715,12.012,9.922,9000
0.3817,1.644,11.511,9.648,9000
0.4334,1.579,11.057,9.353,9000
0.4834,1.52,10.643,9.036,9000
0.5313,1.464,10.253,8.698,9000
0.5764,1.411,9.882,8.338,9000
0.6184,1.36,9.525,7.958,9000
0.6566,1.31,9.171,7.556,9000
0.6904,1.259,8.814,7.126,9000
0.7192,1.208,8.46,6.68,9000
0.7441,1.157,8.101,6.229,9000
0.7669,1.1,7.705,5.766,9000
0.7874,1.038,7.272,5.293,9000
0.8053,0.971,6.8,4.809,9000
0.8202,0.898,6.289,4.315,9000
0.8318,0.819,5.733,3.808,9000
0.8394,0.733,5.134,3.292,9000
0.8403,0.642,4.498,2.767,9000
0.8281,0.548,3.838,2.233,9000
0.7959,0.449,3.145,1.691,9000
0.7298,0.342,2.396,1.138,9000
0.5695,0.229,1.602,0.572,9000
-0.001,0.13,0.912,-0.001,9000
0,3.022,19.047,13.751,10000
0.0426,2.895,18.249,13.65,10000
0.0881,2.769,17.453,13.512,10000
0.1366,2.646,16.675,13.339,10000
0.1873,2.533,15.964,13.134,10000
0.2392,2.435,15.345,12.899,10000
0.2916,2.347,14.792,12.633,10000
0.3439,2.268,14.292,12.337,10000
0.3953,2.195,13.832,12.009,10000
0.4452,2.127,13.408,11.652,10000
