Efficiency,PWR,Torque,Thrust,RPM
0,0,0.018,0.031,1000
0.0558,0,0.018,0.03,1000
0.1091,0,0.018,0.03,1000
0.1601,0,0.018,0.029,1000
0.2085,0,0.018,0.029,1000
0.2544,0,0.018,0.028,1000
0.2977,0,0.018,0.027,1000
0.3385,0,0.018,0.026,1000
0.3766,0,0.018,0.026,1000
0.412,0,0.018,0.025,1000
0.4447,0,0.018,0.024,1000
0.4746,0,0.018,0.023,1000
0.5017,0,0.018,0.022,1000
0.5262,0,0.017,0.021,1000
0.548,0,0.017,0.02,1000
0.5674,0,0.016,0.018,1000
0.5845,0,0.016,0.017,1000
0.5992,0,0.015,0.016,1000
0.6118,0,0.015,0.015,1000
0.6218,0,0.014,0.014,1000
0.6292,0,0.013,0.012,1000
0.6334,0,0.012,0.011,1000
0.6348,0,0.012,0.01,1000
0.6305,0,0.01,0.009,1000
0.6166,0,0.009,0.007,1000
0.589,0,0.008,0.006,1000
0.5405,0,0.007,0.004,1000
0.4569,0,0.006,0.003,1000
0.3049,0,0.005,0.001,1000
-0.0042,0,0.003,0,1000
0,0.002,0.073,0.124,2000
0.0557,0.002,0.074,0.122,2000
0.1091,0.002,0.074,0.12,2000
0.16,0.002,0.074,0.117,2000
0.2084,0.002,0.074,0.114,2000
0.2543,0.002,0.074,0.112,2000
0.2976,0.002,0.074,0.109,2000
0.3384,0.002,0.074,0.106,2000
0.3765,0.002,0.073,0.102,2000
0.4119,0.002,0.073,0.099,2000
0.4446,0.002,0.072,0.095,2000
0.4745,0.002,0.071,0.091,2000
0.5016,0.002,0.07,0.087,2000
0.5261,0.002,0.069,0.083,2000
0.548,0.002,0.067,0.078,2000
0.5674,0.002,0.066,0.074,2000
0.5845,0.002,0.064,0.069,2000
0.5992,0.002,0.062,0.065,2000
0.6118,0.002,0.059,0.06,2000
0.6218,0.002,0.057,0.055,2000
0.6293,0.002,0.053,0.05,2000
0.6334,0.002,0.05,0.045,2000
0.6349,0.001,0.046,0.04,2000
0.6306,0.001,0.042,0.034,2000
0.6167,0.001,0.038,0.029,2000
0.5893,0.001,0.033,0.023,2000
0.541,0.001,0.028,0.017,2000
0.4575,0.001,0.023,0.012,2000
0.3056,0.001,0.018,0.006,2000
-0.0053,0,0.013,0,2000
0,0.008,0.165,0.279,3000
0.0556,0.008,0.166,0.274,3000
0.1089,0.008,0.166,0.269,3000
0.1597,0.008,0.166,0.263,3000
0.208,0.008,0.166,0.257,3000
0.2538,0.008,0.166,0.251,3000
0.2971,0.008,0.166,0.245,3000
0.3377,0.008,0.166,0.238,3000
0.3758,0.008,0.165,0.231,3000
0.4112,0.008,0.164,0.223,3000
0.4439,0.008,0.162,0.214,3000
0.4738,0.008,0.16,0.205,3000
0.5009,0.008,0.158,0.196,3000
0.5254,0.007,0.155,0.187,3000
0.5473,0.007,0.152,0.177,3000
0.5668,0.007,0.149,0.167,3000
0.5839,0.007,0.144,0.157,3000
0.5987,0.007,0.139,0.146,3000
0.6114,0.006,0.134,0.135,3000
0.6215,0.006,0.128,0.124,3000
0.6291,0.006,0.121,0.113,3000
0.6333,0.005,0.113,0.101,3000
0.6349,0.005,0.104,0.089,3000
0.631,0.005,0.095,0.077,3000
0.6175,0.004,0.085,0.065,3000
0.5904,0.004,0.074,0.052,3000
0.5421,0.003,0.064,0.039,3000
0.4586,0.002,0.052,0.026,3000
0.3058,0.002,0.041,0.013,3000
-0.0017,0.001,0.03,0,3000
0,0.036,0.455,0.778,5000
0.0562,0.036,0.457,0.764,5000
0.1101,0.036,0.458,0.75,5000
0.1615,0.036,0.459,0.734,5000
0.2104,0.036,0.459,0.718,5000
0.2567,0.036,0.459,0.701,5000
0.3006,0.036,0.458,0.683,5000
0.3419,0.036,0.457,0.663,5000
0.3806,0.036,0.455,0.643,5000
0.4167,0.036,0.452,0.622,5000
0.4502,0.035,0.447,0.598,5000
0.4809,0.035,0.441,0.573,5000
0.5089,0.034,0.434,0.547,5000
0.5343,0.034,0.426,0.521,5000
0.5572,0.033,0.417,0.494,5000
0.5776,0.032,0.407,0.466,5000
0.5956,0.031,0.395,0.437,5000
0.6113,0.03,0.381,0.407,5000
0.6245,0.029,0.365,0.377,5000
0.6351,0.028,0.348,0.346,5000
0.6431,0.026,0.329,0.314,5000
0.6478,0.024,0.307,0.282,5000
0.6494,0.022,0.283,0.249,5000
0.6454,0.02,0.257,0.215,5000
0.6314,0.018,0.231,0.18,5000
0.6038,0.016,0.202,0.145,5000
0.5548,0.014,0.173,0.11,5000
0.4694,0.011,0.142,0.074,5000
0.3139,0.009,0.111,0.037,5000
0,0.006,0.082,0,5000
0,0.061,0.643,1.124,6000
0.0575,0.061,0.645,1.104,6000
0.1125,0.062,0.647,1.083,6000
0.165,0.062,0.648,1.061,6000
0.215,0.062,0.649,1.038,6000
0.2625,0.062,0.648,1.012,6000
0.3074,0.062,0.647,0.986,6000
0.3499,0.061,0.645,0.958,6000
0.3897,0.061,0.641,0.929,6000
0.4271,0.061,0.637,0.898,6000
0.4618,0.06,0.629,0.864,6000
0.4939,0.059,0.62,0.828,6000
0.5234,0.058,0.609,0.791,6000
0.5503,0.057,0.597,0.752,6000
0.5747,0.056,0.584,0.713,6000
0.5966,0.054,0.568,0.672,6000
0.6161,0.052,0.551,0.631,6000
0.6331,0.051,0.531,0.588,6000
0.6472,0.048,0.509,0.544,6000
0.6583,0.046,0.485,0.499,6000
0.6666,0.044,0.457,0.453,6000
0.6716,0.041,0.428,0.407,6000
0.673,0.038,0.394,0.359,6000
0.6684,0.034,0.358,0.31,6000
0.6533,0.031,0.321,0.26,6000
0.6243,0.027,0.282,0.209,6000
0.5734,0.023,0.241,0.158,6000
0.4854,0.019,0.199,0.106,6000
0.3239,0.015,0.155,0.053,6000
-0.0028,0.011,0.114,0,6000
0,0.096,0.862,1.535,7000
0.0585,0.096,0.866,1.508,7000
0.1145,0.096,0.868,1.479,7000
0.1679,0.097,0.87,1.449,7000
0.2188,0.097,0.87,1.417,7000
0.2671,0.097,0.87,1.383,7000
0.313,0.096,0.868,1.347,7000
0.3563,0.096,0.864,1.309,7000
0.3972,0.095,0.859,1.269,7000
0.4357,0.095,0.852,1.227,7000
0.4716,0.093,0.841,1.181,7000
0.5049,0.092,0.828,1.131,7000
0.5356,0.09,0.813,1.08,7000
0.5639,0.088,0.796,1.027,7000
0.5898,0.086,0.776,0.973,7000
0.6132,0.084,0.755,0.918,7000
0.6342,0.081,0.73,0.861,7000
0.652,0.078,0.702,0.801,7000
0.6674,0.075,0.673,0.743,7000
0.6786,0.071,0.641,0.681,7000
0.6878,0.067,0.605,0.619,7000
0.6932,0.063,0.565,0.555,7000
0.6944,0.058,0.522,0.49,7000
0.6896,0.053,0.475,0.423,7000
0.6737,0.047,0.425,0.355,7000
0.6436,0.041,0.374,0.286,7000
0.5917,0.035,0.319,0.216,7000
0.5012,0.029,0.263,0.145,7000
0.3345,0.023,0.205,0.073,7000
-0.0025,0.017,0.15,0,7000
0,0.145,1.143,2.013,8000
0.0581,0.145,1.144,1.977,8000
0.114,0.145,1.144,1.94,8000
0.1676,0.145,1.143,1.9,8000
0.219,0.145,1.141,1.858,8000
0.268,0.144,1.137,1.813,8000
0.3146,0.144,1.132,1.766,8000
0.3589,0.143,1.125,1.716,8000
