Efficiency,PWR,Torque,Thrust,RPM
0,0,0.005,0.009,1000
0.065,0,0.005,0.009,1000
0.1274,0,0.005,0.009,1000
0.1872,0,0.005,0.009,1000
0.2443,0,0.005,0.009,1000
0.2988,0,0.005,0.009,1000
0.3506,0,0.005,0.009,1000
0.3998,0,0.006,0.009,1000
0.4463,0,0.006,0.009,1000
0.4902,0,0.006,0.008,1000
0.5312,0,0.006,0.008,1000
0.5696,0,0.006,0.008,1000
0.605,0,0.006,0.008,1000
0.6375,0,0.006,0.008,1000
0.6667,0,0.006,0.007,1000
0.6926,0,0.005,0.007,1000
0.7146,0,0.005,0.006,1000
0.7332,0,0.005,0.006,1000
0.7484,0,0.005,0.006,1000
0.7604,0,0.005,0.005,1000
0.7695,0,0.004,0.005,1000
0.7761,0,0.004,0.004,1000
0.7805,0,0.004,0.004,1000
0.7818,0,0.003,0.003,1000
0.7772,0,0.003,0.003,1000
0.7637,0,0.003,0.002,1000
0.7296,0,0.002,0.002,1000
0.6532,0,0.002,0.001,1000
0.4795,0,0.001,0.001,1000
-0.0038,0,0.001,0,1000
0,0.001,0.019,0.035,2000
0.0649,0.001,0.02,0.035,2000
0.1273,0.001,0.02,0.035,2000
0.187,0.001,0.021,0.035,2000
0.2441,0.001,0.021,0.035,2000
0.2985,0.001,0.021,0.035,2000
0.3503,0.001,0.022,0.035,2000
0.3994,0.001,0.022,0.034,2000
0.4459,0.001,0.022,0.034,2000
0.4897,0.001,0.023,0.034,2000
0.5309,0.001,0.023,0.033,2000
0.5692,0.001,0.023,0.032,2000
0.6046,0.001,0.023,0.031,2000
0.6371,0.001,0.023,0.03,2000
0.6664,0.001,0.022,0.029,2000
0.6923,0.001,0.022,0.027,2000
0.7144,0.001,0.021,0.026,2000
0.733,0.001,0.02,0.024,2000
0.7482,0.001,0.019,0.022,2000
0.7603,0.001,0.018,0.02,2000
0.7695,0.001,0.017,0.018,2000
0.7761,0.001,0.016,0.017,2000
0.7805,0,0.015,0.015,2000
0.7819,0,0.014,0.013,2000
0.7774,0,0.012,0.011,2000
0.7642,0,0.01,0.009,2000
0.7307,0,0.008,0.006,2000
0.6558,0,0.007,0.004,2000
0.4829,0,0.005,0.002,2000
-0.0029,0,0.003,0,2000
0,0.002,0.044,0.079,3000
0.0649,0.002,0.045,0.079,3000
0.1272,0.002,0.046,0.079,3000
0.1868,0.002,0.046,0.079,3000
0.2439,0.002,0.047,0.079,3000
0.2983,0.002,0.048,0.079,3000
0.35,0.002,0.049,0.078,3000
0.3991,0.002,0.05,0.078,3000
0.4456,0.002,0.05,0.077,3000
0.4894,0.002,0.051,0.076,3000
0.5304,0.002,0.051,0.074,3000
0.5688,0.002,0.051,0.073,3000
0.6042,0.002,0.051,0.07,3000
0.6367,0.002,0.051,0.068,3000
0.666,0.002,0.05,0.065,3000
0.6919,0.002,0.049,0.061,3000
0.7141,0.002,0.047,0.058,3000
0.7328,0.002,0.045,0.054,3000
0.748,0.002,0.044,0.05,3000
0.7601,0.002,0.042,0.046,3000
0.7694,0.002,0.039,0.042,3000
0.776,0.002,0.037,0.037,3000
0.7804,0.002,0.034,0.033,3000
0.7815,0.001,0.031,0.028,3000
0.7766,0.001,0.027,0.024,3000
0.7626,0.001,0.023,0.019,3000
0.7278,0.001,0.019,0.014,3000
0.6507,0.001,0.015,0.01,3000
0.477,0,0.01,0.005,3000
-0.0031,0,0.006,0,3000
0,0.005,0.078,0.141,4000
0.0648,0.005,0.079,0.141,4000
0.1271,0.005,0.081,0.141,4000
0.1867,0.005,0.083,0.141,4000
0.2437,0.005,0.084,0.14,4000
0.2981,0.005,0.086,0.14,4000
0.3498,0.006,0.087,0.139,4000
0.3989,0.006,0.088,0.138,4000
0.4454,0.006,0.09,0.137,4000
0.4892,0.006,0.09,0.135,4000
0.5302,0.006,0.091,0.132,4000
0.5686,0.006,0.091,0.129,4000
0.604,0.006,0.091,0.125,4000
0.6366,0.006,0.09,0.121,4000
0.6659,0.006,0.089,0.116,4000
0.6919,0.005,0.087,0.109,4000
0.714,0.005,0.084,0.103,4000
0.7328,0.005,0.081,0.096,4000
0.748,0.005,0.078,0.089,4000
0.7602,0.005,0.074,0.081,4000
0.7694,0.004,0.07,0.074,4000
0.776,0.004,0.066,0.066,4000
0.7804,0.004,0.06,0.059,4000
0.7816,0.003,0.054,0.051,4000
0.7767,0.003,0.048,0.042,4000
0.7628,0.003,0.041,0.034,4000
0.728,0.002,0.033,0.026,4000
0.6512,0.002,0.026,0.017,4000
0.4777,0.001,0.018,0.009,4000
-0.0009,0.001,0.011,0,4000
0,0.01,0.122,0.221,5000
0.0648,0.01,0.124,0.221,5000
0.1269,0.01,0.127,0.22,5000
0.1865,0.01,0.129,0.22,5000
0.2435,0.01,0.132,0.219,5000
0.2978,0.011,0.134,0.219,5000
0.3495,0.011,0.136,0.217,5000
0.3986,0.011,0.138,0.216,5000
0.445,0.011,0.14,0.213,5000
0.4889,0.011,0.141,0.21,5000
