Efficiency,PWR,Torque,Thrust,RPM
0,0.003,0.192,0.174,1000
0.0648,0.003,0.196,0.174,1000
0.1271,0.003,0.2,0.174,1000
0.1867,0.003,0.203,0.173,1000
0.2437,0.003,0.207,0.173,1000
0.2981,0.003,0.21,0.171,1000
0.35,0.003,0.212,0.17,1000
0.3991,0.003,0.214,0.167,1000
0.4454,0.003,0.216,0.165,1000
0.489,0.003,0.216,0.161,1000
0.5295,0.003,0.216,0.157,1000
0.5673,0.003,0.216,0.152,1000
0.6018,0.003,0.214,0.147,1000
0.6329,0.003,0.212,0.141,1000
0.6607,0.003,0.208,0.135,1000
0.6849,0.003,0.203,0.127,1000
0.7055,0.003,0.197,0.119,1000
0.7226,0.003,0.191,0.111,1000
0.7364,0.003,0.183,0.103,1000
0.7472,0.003,0.175,0.094,1000
0.7554,0.003,0.166,0.086,1000
0.7614,0.002,0.155,0.077,1000
0.7654,0.002,0.142,0.068,1000
0.7659,0.002,0.128,0.059,1000
0.7618,0.002,0.113,0.049,1000
0.7492,0.002,0.096,0.04,1000
0.7179,0.001,0.079,0.03,1000
0.6505,0.001,0.061,0.02,1000
0.4899,0.001,0.042,0.01,1000
-0.0031,0,0.025,0,1000
0,0.024,0.772,0.698,2000
0.0647,0.025,0.786,0.697,2000
0.1268,0.025,0.801,0.696,2000
0.1863,0.026,0.815,0.694,2000
0.2432,0.026,0.829,0.691,2000
0.2975,0.027,0.841,0.686,2000
0.3493,0.027,0.851,0.68,2000
0.3984,0.027,0.859,0.671,2000
0.4447,0.027,0.865,0.659,2000
0.4882,0.028,0.868,0.646,2000
0.5289,0.028,0.868,0.63,2000
0.5666,0.027,0.865,0.611,2000
0.6012,0.027,0.859,0.59,2000
0.6325,0.027,0.849,0.567,2000
0.6603,0.027,0.835,0.54,2000
0.6846,0.026,0.815,0.51,2000
0.7053,0.025,0.792,0.479,2000
0.7224,0.024,0.765,0.446,2000
0.7364,0.023,0.736,0.413,2000
0.7472,0.022,0.703,0.379,2000
0.7554,0.021,0.665,0.344,2000
0.7614,0.02,0.621,0.309,2000
0.7654,0.018,0.571,0.273,2000
0.7661,0.016,0.516,0.236,2000
0.762,0.014,0.454,0.198,2000
0.7497,0.012,0.387,0.159,2000
0.7189,0.01,0.317,0.12,2000
0.652,0.008,0.245,0.081,2000
0.492,0.005,0.17,0.041,2000
-0.0027,0.003,0.101,0,2000
0,0.078,1.638,1.567,3000
0.068,0.08,1.676,1.565,3000
0.1327,0.082,1.716,1.563,3000
0.194,0.084,1.755,1.559,3000
0.2522,0.085,1.793,1.553,3000
0.3073,0.087,1.828,1.542,3000
0.3593,0.088,1.858,1.528,3000
0.4084,0.09,1.883,1.508,3000
0.4546,0.091,1.901,1.483,3000
0.4978,0.091,1.913,1.453,3000
0.5381,0.091,1.918,1.417,3000
0.5756,0.091,1.915,1.376,3000
0.6103,0.091,1.903,1.329,3000
0.6421,0.09,1.882,1.276,3000
0.6709,0.088,1.85,1.218,3000
0.6966,0.086,1.805,1.151,3000
0.7194,0.083,1.748,1.079,3000
0.7391,0.08,1.685,1.006,3000
0.7558,0.077,1.615,0.931,3000
0.7697,0.073,1.537,0.855,3000
0.781,0.069,1.45,0.777,3000
0.7899,0.064,1.35,0.697,3000
0.7952,0.059,1.24,0.615,3000
0.7967,0.053,1.118,0.532,3000
0.7934,0.047,0.983,0.446,3000
0.7806,0.04,0.837,0.359,3000
0.7484,0.033,0.685,0.271,3000
0.6786,0.025,0.527,0.182,3000
0.5124,0.017,0.366,0.092,3000
-0.0004,0.01,0.216,0,3000
0,0.189,2.978,2.791,4000
0.0668,0.193,3.037,2.788,4000
0.1308,0.197,3.098,2.784,4000
0.1919,0.201,3.16,2.778,4000
0.2502,0.204,3.221,2.767,4000
0.3057,0.208,3.276,2.751,4000
0.3584,0.211,3.321,2.726,4000
0.4085,0.213,3.358,2.692,4000
0.4558,0.215,3.384,2.648,4000
0.5003,0.216,3.398,2.595,4000
0.5418,0.216,3.401,2.531,4000
0.5805,0.215,3.389,2.457,4000
0.6166,0.213,3.362,2.373,4000
0.6499,0.211,3.319,2.279,4000
0.6803,0.207,3.256,2.174,4000
0.7079,0.201,3.169,2.055,4000
0.7327,0.194,3.063,1.926,4000
0.7547,0.187,2.944,1.796,4000
0.7739,0.179,2.813,1.662,4000
0.7904,0.169,2.669,1.525,4000
0.8044,0.159,2.508,1.386,4000
0.8161,0.148,2.328,1.243,4000
0.8224,0.135,2.134,1.096,4000
0.8249,0.122,1.92,0.946,4000
0.8224,0.107,1.685,0.793,4000
0.8093,0.091,1.435,0.638,4000
0.7761,0.075,1.174,0.481,4000
0.7047,0.057,0.901,0.323,4000
0.5316,0.04,0.623,0.163,4000
-0.0016,0.023,0.364,0,4000
0,0.573,7.218,4.474,5000
0.046,0.561,7.077,4.468,5000
0.0936,0.55,6.935,4.459,5000
0.1431,0.539,6.788,4.446,5000
0.1943,0.527,6.637,4.427,5000
0.2471,0.514,6.479,4.397,5000
