Efficiency,PWR,Torque,Thrust,RPM
0,0.001,0.077,0.086,1000
0.0659,0.001,0.079,0.086,1000
0.1291,0.001,0.08,0.086,1000
0.1896,0.001,0.082,0.086,1000
0.2472,0.001,0.083,0.085,1000
0.3021,0.001,0.085,0.085,1000
0.3543,0.001,0.086,0.084,1000
0.4036,0.001,0.087,0.083,1000
0.4502,0.001,0.088,0.082,1000
0.4939,0.001,0.089,0.081,1000
0.5346,0.001,0.089,0.079,1000
0.5723,0.001,0.089,0.077,1000
0.6068,0.001,0.088,0.074,1000
0.6381,0.001,0.087,0.071,1000
0.6659,0.001,0.086,0.068,1000
0.6902,0.001,0.084,0.064,1000
0.7108,0.001,0.082,0.06,1000
0.7277,0.001,0.079,0.056,1000
0.7413,0.001,0.076,0.052,1000
0.7516,0.001,0.072,0.048,1000
0.7589,0.001,0.069,0.043,1000
0.7638,0.001,0.064,0.039,1000
0.7665,0.001,0.059,0.034,1000
0.7659,0.001,0.053,0.03,1000
0.7601,0.001,0.047,0.025,1000
0.7469,0.001,0.04,0.02,1000
0.7145,0.001,0.033,0.015,1000
0.644,0,0.025,0.01,1000
0.4819,0,0.018,0.005,1000
-0.001,0,0.01,0,1000
0,0.01,0.309,0.345,2000
0.0658,0.01,0.315,0.344,2000
0.1289,0.01,0.321,0.343,2000
0.1893,0.01,0.327,0.342,2000
0.2469,0.011,0.333,0.341,2000
0.3017,0.011,0.339,0.339,2000
0.3539,0.011,0.344,0.337,2000
0.4032,0.011,0.349,0.334,2000
0.4497,0.011,0.353,0.329,2000
0.4934,0.011,0.355,0.323,2000
0.5342,0.011,0.356,0.316,2000
0.5719,0.011,0.356,0.307,2000
0.6065,0.011,0.354,0.297,2000
0.6378,0.011,0.35,0.285,2000
0.6657,0.011,0.345,0.272,2000
0.69,0.011,0.337,0.257,2000
0.7107,0.01,0.327,0.241,2000
0.7277,0.01,0.316,0.225,2000
0.7413,0.01,0.304,0.208,2000
0.7516,0.009,0.291,0.191,2000
0.759,0.009,0.275,0.173,2000
0.7639,0.008,0.258,0.155,2000
0.7666,0.008,0.237,0.137,2000
0.766,0.007,0.214,0.118,2000
0.7602,0.006,0.189,0.099,2000
0.747,0.005,0.161,0.08,2000
0.7144,0.004,0.132,0.06,2000
0.6434,0.003,0.102,0.04,2000
0.4807,0.002,0.071,0.02,2000
-0.0047,0.001,0.042,0,2000
0,0.033,0.696,0.776,3000
0.0658,0.034,0.709,0.774,3000
0.1289,0.034,0.722,0.773,3000
0.1893,0.035,0.736,0.771,3000
0.2469,0.036,0.75,0.768,3000
0.3017,0.036,0.763,0.764,3000
0.3538,0.037,0.776,0.759,3000
0.4031,0.037,0.786,0.751,3000
0.4496,0.038,0.795,0.741,3000
0.4933,0.038,0.8,0.728,3000
0.534,0.038,0.802,0.711,3000
0.5716,0.038,0.801,0.691,3000
0.6062,0.038,0.797,0.668,3000
0.6375,0.038,0.789,0.642,3000
0.6654,0.037,0.777,0.613,3000
0.6898,0.036,0.759,0.579,3000
0.7104,0.035,0.737,0.543,3000
0.7275,0.034,0.713,0.506,3000
0.7412,0.033,0.686,0.469,3000
0.7516,0.031,0.656,0.43,3000
0.759,0.03,0.621,0.391,3000
0.764,0.028,0.582,0.351,3000
0.7667,0.026,0.536,0.31,3000
0.7663,0.023,0.484,0.268,3000
0.7606,0.02,0.427,0.225,3000
0.7475,0.017,0.364,0.181,3000
0.7152,0.014,0.298,0.136,3000
0.6444,0.011,0.23,0.091,3000
0.4804,0.008,0.16,0.046,3000
-0.0016,0.005,0.095,0,3000
0,0.078,1.222,1.379,4000
0.0666,0.079,1.246,1.377,4000
0.1303,0.081,1.271,1.374,4000
0.1911,0.082,1.296,1.37,4000
0.249,0.084,1.322,1.366,4000
0.3041,0.086,1.347,1.36,4000
0.3562,0.087,1.371,1.351,4000
0.4056,0.088,1.392,1.339,4000
0.4522,0.089,1.408,1.321,4000
0.4958,0.09,1.419,1.298,4000
0.5365,0.09,1.424,1.268,4000
0.5742,0.09,1.423,1.233,4000
0.6088,0.09,1.416,1.192,4000
0.6403,0.089,1.402,1.146,4000
0.6685,0.088,1.38,1.094,4000
0.6934,0.086,1.348,1.034,4000
0.7147,0.083,1.308,0.97,4000
0.7326,0.08,1.264,0.904,4000
0.7472,0.077,1.215,0.837,4000
0.7586,0.074,1.159,0.768,4000
0.7671,0.07,1.097,0.698,4000
0.773,0.065,1.025,0.626,4000
0.7765,0.06,0.943,0.552,4000
0.7764,0.054,0.851,0.477,4000
0.7711,0.048,0.75,0.4,4000
0.7581,0.041,0.639,0.322,4000
0.7255,0.033,0.523,0.242,4000
0.6541,0.026,0.403,0.162,4000
0.4889,0.018,0.281,0.081,4000
-0.0021,0.011,0.167,0,4000
0,0.144,1.811,2.152,5000
0.0698,0.147,1.854,2.149,5000
0.136,0.151,1.898,2.144,5000
0.1987,0.154,1.945,2.14,5000
0.258,0.158,1.992,2.133,5000
0.3137,0.162,2.039,2.125,5000
0.3662,0.165,2.084,2.112,5000
0.4156,0.168,2.123,2.093,5000
0.4619,0.171,2.156,2.067,5000
0.5052,0.173,2.18,2.032,5000
0.5455,0.174,2.194,1.987,5000
0.5828,0.174,2.197,1.933,5000
0.6172,0.174,2.189,1.869,5000
0.6487,0.172,2.169,1.797,5000
0.6774,0.169,2.136,1.716,5000
0.7032,0.165,2.084,1.623,5000
0.7259,0.16,2.02,1.522,5000
0.7456,0.154,1.947,1.418,5000
0.7624,0.148,1.866,1.313,5000
0.7759,0.141,1.777,1.205,5000
0.7866,0.133,1.676,1.094,5000
0.7947,0.124,1.561,0.981,5000
0.7996,0.114,1.433,0.865,5000
0.7995,0.103,1.294,0.747,5000
0.795,0.09,1.139,0.626,5000
0.7815,0.077,0.971,0.504,5000
0.7479,0.063,0.795,0.38,5000
0.6746,0.049,0.613,0.254,5000
0.5049,0.034,0.427,0.128,5000
-0.0015,0.02,0.253,0,5000
0,0.237,2.489,3.096,6000
0.0727,0.244,2.559,3.092,6000
0.1412,0.25,2.631,3.086,6000
0.2055,0.258,2.706,3.079,6000
0.2657,0.265,2.782,3.071,6000
0.3221,0.272,2.859,3.06,6000
0.3747,0.279,2.933,3.044,6000
0.4239,0.286,3,3.02,6000
0.4699,0.291,3.058,2.985,6000
0.5128,0.295,3.101,2.936,6000
0.5527,0.298,3.129,2.873,6000
0.5896,0.299,3.139,2.796,6000
0.6237,0.298,3.132,2.705,6000
0.6553,0.296,3.107,2.602,6000
0.6843,0.291,3.06,2.485,6000
0.7109,0.284,2.986,2.351,6000
0.7348,0.275,2.889,2.205,6000
0.7561,0.265,2.781,2.055,6000
0.7748,0.253,2.659,1.902,6000
0.7903,0.24,2.524,1.745,6000
0.803,0.226,2.375,1.584,6000
0.8132,0.21,2.206,1.42,6000
0.8196,0.193,2.023,1.252,6000
0.8198,0.174,1.828,1.082,6000
0.8161,0.153,1.609,0.909,6000
0.8025,0.131,1.372,0.732,6000
0.7683,0.107,1.124,0.552,6000
0.6938,0.082,0.866,0.37,6000
0.5206,0.057,0.602,0.186,6000
-0.0034,0.034,0.353,-0.001,6000
0,0.495,4.457,4.271,7000
0.0574,0.496,4.468,4.264,7000
0.1143,0.498,4.48,4.256,7000
0.1706,0.499,4.494,4.246,7000
0.226,0.501,4.508,4.234,7000
0.2807,0.502,4.521,4.218,7000
0.3343,0.503,4.532,4.197,7000
0.3868,0.504,4.534,4.164,7000
0.438,0.502,4.523,4.116,7000
0.4874,0.5,4.498,4.049,7000
0.5341,0.495,4.461,3.96,7000
0.5774,0.49,4.412,3.849,7000
0.6169,0.484,4.355,3.721,7000
0.6527,0.476,4.285,3.576,7000
0.685,0.466,4.196,3.412,7000
0.7138,0.453,4.079,3.226,7000
0.7389,0.438,3.941,3.025,7000
0.7609,0.421,3.79,2.819,7000
0.7803,0.402,3.62,2.609,7000
0.7968,0.381,3.434,2.393,7000
0.8105,0.358,3.226,2.173,7000
0.8218,0.333,2.994,1.947,7000
0.8293,0.305,2.742,1.718,7000
0.8311,0.275,2.474,1.486,7000
0.8283,0.242,2.177,1.249,7000
0.8165,0.206,1.855,1.007,7000
0.7836,0.169,1.518,0.76,7000
0.7106,0.129,1.166,0.51,7000
0.5378,0.089,0.803,0.256,7000
-0.003,0.051,0.463,-0.001,7000
0,0.987,7.776,5.676,8000
0.0447,0.97,7.643,5.667,8000
0.0908,0.953,7.505,5.656,8000
0.1385,0.934,7.359,5.641,8000
0.1878,0.916,7.215,5.622,8000
0.2387,0.897,7.066,5.6,8000
0.2913,0.877,6.91,5.57,8000
0.3455,0.856,6.747,5.527,8000
0.4007,0.834,6.571,5.463,8000
0.4564,0.81,6.381,5.371,8000
0.5107,0.786,6.192,5.25,8000
0.5615,0.764,6.017,5.098,8000
0.6074,0.743,5.857,4.922,8000
0.6482,0.724,5.705,4.723,8000
0.6844,0.704,5.546,4.5,8000
0.7157,0.681,5.366,4.25,8000
0.7421,0.657,5.172,3.982,8000
0.7645,0.631,4.97,3.711,8000
0.7846,0.602,4.743,3.432,8000
0.8019,0.57,4.492,3.147,8000
0.8165,0.535,4.214,2.856,8000
0.8286,0.496,3.906,2.558,8000
0.8373,0.453,3.57,2.256,8000
0.8404,0.408,3.212,1.948,8000
0.8388,0.358,2.819,1.636,8000
0.8281,0.304,2.396,1.317,8000
0.7957,0.248,1.952,0.992,8000
0.7222,0.189,1.491,0.662,8000
0.5474,0.13,1.023,0.332,8000
-0.0028,0.075,0.594,-0.001,8000
0,1.756,12.298,7.304,9000
0.0367,1.706,11.949,7.292,9000
0.0755,1.655,11.59,7.276,9000
0.1167,1.602,11.218,7.256,9000
0.1605,1.547,10.836,7.23,9000
0.2072,1.492,10.447,7.199,9000
0.2571,1.435,10.047,7.159,9000
0.3104,1.376,9.639,7.107,9000
0.3671,1.316,9.214,7.03,9000
0.4263,1.254,8.78,6.915,9000
0.4867,1.193,8.351,6.757,9000
0.5444,1.138,7.97,6.558,9000
0.5965,1.093,7.653,6.325,9000
0.6421,1.054,7.383,6.063,9000
0.6818,1.018,7.129,5.772,9000
0.7156,0.981,6.87,5.45,9000
0.7434,0.944,6.608,5.105,9000
0.7664,0.907,6.348,4.758,9000
0.7871,0.865,6.057,4.404,9000
0.8052,0.819,5.735,4.041,9000
0.8207,0.768,5.38,3.671,9000
0.8338,0.712,4.986,3.292,9000
0.8439,0.65,4.555,2.905,9000
0.8486,0.585,4.095,2.512,9000
0.8486,0.512,3.589,2.11,9000
0.8397,0.434,3.043,1.699,9000
0.8094,0.354,2.477,1.282,9000
0.7389,0.27,1.891,0.861,9000
0.5672,0.183,1.285,0.433,9000
-0.0018,0.103,0.721,-0.001,9000
0,2.896,18.254,9.162,10000
0.0313,2.795,17.614,9.148,10000
0.0649,2.688,16.943,9.128,10000
0.1011,2.58,16.262,9.102,10000
0.1403,2.469,15.561,9.068,10000
0.1832,2.353,14.833,9.025,10000
0.2299,2.237,14.101,8.973,10000
0.2812,2.118,13.35,8.907,10000
0.3375,1.997,12.584,8.819,10000
0.3987,1.873,11.804,8.685,10000
0.4635,1.75,11.027,8.489,10000
0.5281,1.638,10.324,8.233,10000
0.5865,1.55,9.771,7.932,10000
0.6368,1.481,9.335,7.595,10000
0.6799,1.421,8.955,7.224,10000
0.716,1.364,8.596,6.815,10000
0.745,1.309,8.25,6.381,10000
0.7685,1.256,7.919,5.946,10000
0.7897,1.198,7.55,5.502,10000
0.8086,1.133,7.14,5.047,10000
0.825,1.061,6.69,4.583,10000
0.8389,0.983,6.193,4.109,10000
0.85,0.896,5.647,3.624,10000
0.856,0.804,5.064,3.131,10000
0.8574,0.703,4.429,2.628,10000
0.8499,0.595,3.747,2.116,10000
0.8214,0.483,3.045,1.598,10000
0.7532,0.369,2.323,1.076,10000
0.5847,0.249,1.568,0.544,10000
-0.0024,0.136,0.859,-0.001,10000
0,4.539,26.004,11.263,11000
0.0271,4.359,24.977,11.247,11000
0.0565,4.177,23.931,11.224,11000
0.0886,3.982,22.817,11.191,11000
0.1238,3.786,21.691,11.149,11000
0.1626,3.583,20.531,11.094,11000
0.2058,3.377,19.346,11.027,11000
0.2542,3.165,18.136,10.943,11000
0.3088,2.951,16.907,10.841,11000
0.37,2.735,15.669,10.701,11000
0.4372,2.518,14.425,10.477,11000
0.5084,2.31,13.233,10.16,11000
0.5746,2.146,12.295,9.78,11000
0.63,2.028,11.62,9.356,11000
0.6765,1.933,11.076,8.892,11000
0.7149,1.849,10.592,8.387,11000
0.7453,1.77,10.143,7.849,11000
0.7694,1.698,9.729,7.316,11000
0.7912,1.618,9.27,6.769,11000
0.8108,1.529,8.76,6.21,11000
0.828,1.431,8.198,5.639,11000
0.8429,1.323,7.58,5.054,11000
0.855,1.205,6.905,4.458,11000
0.8625,1.079,6.184,3.852,11000
0.8652,0.942,5.398,3.233,11000
0.8592,0.796,4.56,2.604,11000
0.8324,0.646,3.699,1.967,11000
0.765,0.49,2.81,1.323,11000
0.5965,0.329,1.886,0.667,11000
-0.0041,0.178,1.018,-0.002,11000
0,6.89,36.186,13.628,12000
0.0236,6.597,34.646,13.61,12000
0.0494,6.295,33.06,13.582,12000
0.0778,5.983,31.423,13.544,12000
0.1092,5.662,29.74,13.492,12000
0.1442,5.333,28.009,13.425,12000
0.1835,4.996,26.237,13.341,12000
0.2283,4.65,24.42,13.237,12000
0.2795,4.299,22.578,13.111,12000
0.3388,3.943,20.711,12.959,12000
0.4066,3.59,18.854,12.744,12000
0.4813,3.24,17.018,12.378,12000
0.5591,2.926,15.37,11.903,12000
0.6218,2.725,14.31,11.377,12000
0.672,2.579,13.544,10.806,12000
0.7127,2.456,12.901,10.189,12000
0.7446,2.346,12.323,9.533,12000
0.7694,2.249,11.813,8.887,12000
0.7917,2.142,11.25,8.225,12000
0.8119,2.023,10.626,7.548,12000
0.8301,1.892,9.936,6.854,12000
0.8459,1.748,9.179,6.146,12000
0.859,1.591,8.357,5.424,12000
0.8681,1.422,7.47,4.687,12000
0.8723,1.24,6.512,3.934,12000
0.8675,1.047,5.498,3.171,12000
0.8425,0.848,4.456,2.4,12000
0.7767,0.643,3.378,1.615,12000
0.6072,0.428,2.247,0.81,12000
-0.0027,0.23,1.206,-0.002,12000
0,9.195,44.579,16.071,13000
0.0226,8.809,42.708,16.054,13000
0.0472,8.409,40.766,16.025,13000
0.0743,7.992,38.744,15.984,13000
0.1042,7.569,36.694,15.928,13000
0.1377,7.127,34.555,15.855,13000
0.1755,6.675,32.363,15.764,13000
0.2179,6.226,30.184,15.653,13000
0.2669,5.759,27.921,15.515,13000
0.3231,5.296,25.674,15.352,13000
0.3886,4.83,23.419,15.158,13000
0.4633,4.371,21.189,14.864,13000
0.5424,3.924,19.023,14.322,13000
0.6166,3.573,17.322,13.685,13000
0.6679,3.376,16.366,13.006,13000
0.7086,3.218,15.599,12.275,13000
0.7411,3.073,14.899,11.495,13000
0.7665,2.944,14.274,10.721,13000
0.7894,2.804,13.593,9.929,13000
0.81,2.649,12.843,9.119,13000
0.8285,2.478,12.015,8.291,13000
0.8449,2.292,11.11,7.446,13000
0.8587,2.088,10.124,6.582,13000
0.8688,1.868,9.056,5.698,13000
0.8739,1.632,7.91,4.798,13000
0.8704,1.38,6.692,3.881,13000
0.848,1.118,5.42,2.945,13000
0.7865,0.849,4.118,1.998,13000
0.6254,0.568,2.755,1.025,13000
0.0246,0.3,1.457,0.021,13000
0,12.463,56.105,18.642,13999
0.0208,11.932,53.714,18.635,13999
0.0435,11.399,51.318,18.619,13999
0.0682,10.891,49.031,18.592,13999
0.0958,10.316,46.439,18.546,13999
0.1256,9.807,44.148,18.491,13999
0.1591,9.252,41.649,18.418,13999
0.1981,8.617,38.791,18.315,13999
0.2439,7.943,35.757,18.184,13999
0.2966,7.285,32.797,18.03,13999
0.3583,6.629,29.842,17.837,13999
0.4315,5.98,26.919,17.611,13999
0.5142,5.357,24.116,17.238,13999
0.5965,4.787,21.55,16.492,13999
0.6626,4.4,19.808,15.639,13999
0.7029,4.197,18.894,14.767,13999
0.7352,4.01,18.05,13.834,13999
0.7619,3.832,17.251,12.896,13999
0.7857,3.642,16.396,11.937,13999
0.807,3.435,15.462,10.954,13999
0.8262,3.212,14.461,9.964,13999
0.8431,2.972,13.378,8.958,13999
0.8576,2.71,12.199,7.932,13999
0.8689,2.421,10.899,6.868,13999
0.875,2.113,9.512,5.784,13999
0.8718,1.783,8.027,4.669,13999
0.8486,1.443,6.498,3.537,13999
0.7829,1.097,4.94,2.389,13999
0.6111,0.74,3.333,1.213,13999
-0.0032,0.408,1.835,-0.003,13999
0,13.364,56.15,21.088,15000
0.023,13.032,54.755,21.104,15000
0.0476,12.6,52.942,21.105,15000
0.0736,12.221,51.348,21.105,15000
0.1013,11.836,49.732,21.097,15000
0.131,11.432,48.036,21.077,15000
0.1629,11.021,46.305,21.048,15000
0.197,10.611,44.582,21.007,15000
0.2344,10.157,42.678,20.94,15000
0.2738,9.745,40.945,20.857,15000
0.3193,9.231,38.787,20.738,15000
0.3689,8.731,36.683,20.595,15000
0.4231,8.236,34.606,20.43,15000
0.4822,7.678,32.263,20.037,15000
0.5522,6.97,29.285,19.34,15000
0.6174,6.366,26.75,18.436,15000
0.6767,5.863,24.634,17.444,15000
0.7193,5.481,23.028,16.314,15000
0.7482,5.157,21.668,15.08,15000
0.7722,4.839,20.331,13.835,15000
0.793,4.524,19.007,12.618,15000
0.8096,4.2,17.645,11.39,15000
0.8323,3.756,15.78,9.996,15000
0.8581,3.256,13.682,8.547,15000
0.8698,2.801,11.767,7.14,15000
0.863,2.38,9.999,5.779,15000
0.8377,1.937,8.138,4.39,15000
0.7635,1.489,6.258,2.963,15000
0.5791,1.027,4.315,1.494,15000
0.0031,0.602,2.527,0.004,15000
0,12.162,42.584,28.316,18000
0.0393,12.18,42.646,28.279,18000
0.0784,12.191,42.686,28.225,18000
0.1172,12.193,42.693,28.142,18000
0.1318,14.556,50.965,28.334,18000
0.1671,14.291,50.04,28.211,18000
0.2317,12.222,42.793,27.867,18000
0.2692,12.21,42.752,27.73,18000
0.3059,12.218,42.781,27.588,18000
0.3421,12.219,42.783,27.432,18000
0.3776,12.223,42.798,27.257,18000
0.4126,12.208,42.746,27.043,18000
0.4466,12.184,42.663,26.778,18000
0.4796,12.198,42.71,26.578,18000
0.5272,11.799,41.312,26.239,18000
0.5436,12.028,42.115,25.741,18000
0.5687,11.773,41.221,24.714,18000
0.5912,11.437,40.044,23.487,18000
0.6112,11.045,38.672,22.148,18000
0.6276,10.633,37.231,20.744,18000
0.6408,10.195,35.696,19.291,18000
0.651,9.681,33.898,17.724,18000
0.656,8.933,31.277,15.729,18000
0.6525,8.073,28.266,13.524,18000
0.6391,7.174,25.118,11.281,18000
0.6116,6.236,21.834,9.01,18000
0.5622,5.29,18.524,6.756,18000
0.4722,4.427,15.502,4.573,18000
0.3009,3.679,12.882,2.335,18000
-0.0241,2.847,9.969,-0.14,18000
