Efficiency,PWR,Torque,Thrust,RPM
0,0,0.007,0.013,1000
0.0602,0,0.007,0.013,1000
0.1179,0,0.007,0.013,1000
0.1731,0,0.007,0.013,1000
0.2258,0,0.007,0.013,1000
0.2758,0,0.007,0.012,1000
0.3233,0,0.007,0.012,1000
0.368,0,0.007,0.012,1000
0.41,0,0.007,0.011,1000
0.4491,0,0.007,0.011,1000
0.4853,0,0.007,0.011,1000
0.5183,0,0.007,0.01,1000
0.5481,0,0.007,0.01,1000
0.5749,0,0.006,0.009,1000
0.5987,0,0.006,0.009,1000
0.6194,0,0.006,0.008,1000
0.6373,0,0.006,0.008,1000
0.6525,0,0.006,0.007,1000
0.6653,0,0.006,0.007,1000
0.6757,0,0.005,0.006,1000
0.6839,0,0.005,0.006,1000
0.6894,0,0.005,0.005,1000
0.6916,0,0.004,0.004,1000
0.6896,0,0.004,0.004,1000
0.6818,0,0.003,0.003,1000
0.6606,0,0.003,0.003,1000
0.617,0,0.003,0.002,1000
0.5338,0,0.002,0.001,1000
0.3699,0,0.002,0.001,1000
-0.0016,0,0.001,0,1000
0,0.001,0.027,0.053,2000
0.0601,0.001,0.027,0.052,2000
0.1178,0.001,0.027,0.052,2000
0.173,0.001,0.027,0.051,2000
0.2256,0.001,0.028,0.05,2000
0.2757,0.001,0.028,0.049,2000
0.3231,0.001,0.028,0.048,2000
0.3678,0.001,0.028,0.047,2000
0.4098,0.001,0.028,0.046,2000
0.4489,0.001,0.027,0.044,2000
0.4851,0.001,0.027,0.042,2000
0.5181,0.001,0.027,0.041,2000
0.548,0.001,0.026,0.039,2000
0.5748,0.001,0.026,0.037,2000
0.5985,0.001,0.025,0.035,2000
0.6193,0.001,0.025,0.033,2000
0.6372,0.001,0.024,0.031,2000
0.6525,0.001,0.023,0.029,2000
0.6652,0.001,0.022,0.027,2000
0.6756,0.001,0.021,0.025,2000
0.6839,0.001,0.02,0.022,2000
0.6894,0.001,0.019,0.02,2000
0.6916,0.001,0.017,0.018,2000
0.6897,0.001,0.016,0.015,2000
0.682,0,0.014,0.013,2000
0.6609,0,0.012,0.01,2000
0.6178,0,0.01,0.008,2000
0.535,0,0.008,0.005,2000
0.371,0,0.006,0.003,2000
-0.0022,0,0.004,0,2000
0,0.003,0.06,0.12,3000
0.0602,0.003,0.061,0.118,3000
0.1179,0.003,0.061,0.117,3000
0.1731,0.003,0.062,0.115,3000
0.2258,0.003,0.062,0.113,3000
0.2758,0.003,0.062,0.111,3000
0.3232,0.003,0.062,0.108,3000
0.3679,0.003,0.062,0.105,3000
0.4099,0.003,0.062,0.103,3000
0.449,0.003,0.062,0.099,3000
0.4851,0.003,0.061,0.095,3000
0.5181,0.003,0.06,0.091,3000
0.548,0.003,0.059,0.087,3000
0.5748,0.003,0.058,0.083,3000
0.5985,0.003,0.057,0.079,3000
0.6193,0.003,0.056,0.074,3000
0.6373,0.003,0.054,0.07,3000
0.6526,0.003,0.053,0.065,3000
0.6653,0.002,0.051,0.06,3000
0.6757,0.002,0.048,0.055,3000
0.684,0.002,0.046,0.05,3000
0.6896,0.002,0.043,0.045,3000
0.6918,0.002,0.039,0.04,3000
0.6898,0.002,0.036,0.034,3000
0.6821,0.001,0.031,0.029,3000
0.6608,0.001,0.027,0.023,3000
0.6175,0.001,0.023,0.017,3000
0.5342,0.001,0.018,0.012,3000
0.3698,0.001,0.014,0.006,3000
-0.0001,0,0.009,0,3000
0,0.007,0.108,0.213,4000
0.0601,0.007,0.109,0.21,4000
0.1177,0.007,0.109,0.208,4000
0.1729,0.007,0.11,0.204,4000
0.2255,0.007,0.11,0.201,4000
0.2755,0.007,0.111,0.197,4000
0.3229,0.007,0.111,0.193,4000
0.3676,0.007,0.111,0.188,4000
0.4096,0.007,0.111,0.183,4000
0.4487,0.007,0.11,0.177,4000
0.4848,0.007,0.109,0.17,4000
0.5178,0.007,0.107,0.163,4000
0.5477,0.007,0.106,0.155,4000
0.5746,0.007,0.104,0.148,4000
0.5983,0.006,0.102,0.14,4000
0.6191,0.006,0.099,0.132,4000
0.6372,0.006,0.097,0.124,4000
0.6525,0.006,0.094,0.116,4000
0.6652,0.006,0.09,0.107,4000
0.6757,0.005,0.086,0.099,4000
0.684,0.005,0.081,0.09,4000
0.6896,0.005,0.076,0.08,4000
0.6919,0.004,0.07,0.071,4000
0.6899,0.004,0.063,0.061,4000
0.6824,0.004,0.056,0.051,4000
0.6615,0.003,0.049,0.041,4000
0.6187,0.003,0.041,0.031,4000
0.5365,0.002,0.033,0.021,4000
0.3725,0.002,0.025,0.011,4000
-0.001,0.001,0.017,0,4000
0,0.013,0.169,0.333,5000
0.06,0.013,0.17,0.329,5000
0.1176,0.014,0.171,0.325,5000
0.1727,0.014,0.172,0.32,5000
0.2253,0.014,0.173,0.314,5000
0.2753,0.014,0.173,0.308,5000
0.3227,0.014,0.174,0.301,5000
0.3674,0.014,0.174,0.294,5000
0.4094,0.014,0.173,0.286,5000
0.4485,0.014,0.172,0.277,5000
0.4847,0.013,0.17,0.266,5000
0.5177,0.013,0.168,0.255,5000
0.5476,0.013,0.165,0.243,5000
0.5745,0.013,0.162,0.232,5000
0.5983,0.013,0.159,0.219,5000
0.6191,0.012,0.156,0.207,5000
0.6372,0.012,0.151,0.194,5000
0.6525,0.012,0.147,0.181,5000
0.6653,0.011,0.141,0.168,5000
0.6758,0.011,0.135,0.154,5000
0.6841,0.01,0.127,0.14,5000
0.6897,0.009,0.119,0.126,5000
0.692,0.009,0.109,0.111,5000
0.6901,0.008,0.099,0.096,5000
0.6826,0.007,0.088,0.081,5000
0.6618,0.006,0.076,0.065,5000
0.6191,0.005,0.064,0.049,5000
0.5365,0.004,0.051,0.033,5000
0.3724,0.003,0.039,0.017,5000
-0.0004,0.002,0.026,0,5000
0,0.023,0.243,0.48,6000
0.06,0.023,0.245,0.475,6000
0.1176,0.024,0.247,0.468,6000
0.1727,0.024,0.249,0.461,6000
0.2253,0.024,0.25,0.453,6000
0.2752,0.024,0.25,0.444,6000
0.3227,0.024,0.251,0.435,6000
0.3674,0.024,0.25,0.424,6000
0.4094,0.024,0.25,0.412,6000
0.4485,0.024,0.248,0.399,6000
0.4847,0.023,0.246,0.384,6000
0.5178,0.023,0.242,0.368,6000
0.5477,0.023,0.239,0.351,6000
0.5746,0.022,0.234,0.334,6000
0.5985,0.022,0.23,0.317,6000
0.6193,0.021,0.224,0.299,6000
0.6374,0.021,0.218,0.28,6000
0.6527,0.02,0.211,0.262,6000
0.6655,0.019,0.203,0.242,6000
0.676,0.018,0.194,0.223,6000
0.6842,0.017,0.183,0.202,6000
0.6899,0.016,0.171,0.181,6000
0.6922,0.015,0.158,0.16,6000
0.6902,0.014,0.143,0.138,6000
0.6826,0.012,0.126,0.116,6000
0.6617,0.01,0.109,0.093,6000
0.6188,0.009,0.092,0.07,6000
0.5361,0.007,0.074,0.047,6000
0.372,0.005,0.056,0.024,6000
-0.0008,0.004,0.037,0,6000
0,0.037,0.332,0.655,7000
0.06,0.037,0.335,0.647,7000
0.1177,0.037,0.337,0.639,7000
0.1728,0.038,0.339,0.629,7000
0.2255,0.038,0.341,0.618,7000
0.2755,0.038,0.342,0.606,7000
0.323,0.038,0.342,0.593,7000
0.3678,0.038,0.342,0.578,7000
0.4098,0.038,0.341,0.562,7000
0.449,0.038,0.339,0.544,7000
0.4853,0.037,0.335,0.523,7000
0.5184,0.037,0.33,0.501,7000
0.5483,0.036,0.325,0.479,7000
0.5752,0.036,0.32,0.455,7000
0.599,0.035,0.313,0.431,7000
0.6199,0.034,0.306,0.407,7000
0.6379,0.033,0.298,0.382,7000
0.6532,0.032,0.288,0.356,7000
0.666,0.031,0.277,0.33,7000
0.6764,0.029,0.264,0.303,7000
0.6847,0.028,0.25,0.275,7000
0.6902,0.026,0.233,0.247,7000
0.6924,0.024,0.215,0.217,7000
0.6903,0.022,0.194,0.188,7000
0.6825,0.019,0.172,0.157,7000
0.661,0.016,0.148,0.126,7000
0.6173,0.014,0.125,0.095,7000
